Title,Authors(s),Fandom(s),Language:,Words:,Chapters:,Collections:,Comments:,Kudos:,Bookmarks:,Hits:,Rating,Publication Date,Characters(s),Relationship(s),Warning(s),Unrequited Love,Romance,Crossover,Quidditch,Friendship,Friendship/Love,Best Friends,Alternate Universe,Gift Fic,Death,Wizards,3 Sentence Fiction,Parody,One of these is not like the other,one of these does not belong,Past Lives,Hogwarts AU,Humanstuck,I might update really slowly but i will update,Post-Canon HP,Homestuck AU,the big 3's kids are briefly mentioned they aren't main characters though,the ships don't really come in till like third year though so yeah,and even then it's like oh um hey i uh kinda like you oh uh heh heh me too,So yeah,no sloppy makeouts until fifth year at least,sorry - Freeform,but the rating might go up around sixth year,because let's be honest in the hp canon there was totally some wizard sex going on around then,but yeah this is going to get finished i promise,ahahahaha ok here is all the stuff about what people look like,John is like Hispanic or something idk,Jade is mixed whatever John is and black,Rose and Dave are albino,So is Karkat - Freeform,Aradia is Asian,Tavros is mixed black and white,Sollux is whatever you want him to be,Nepeta is middle eastern,oh yeah karkat is middle eastern too even though he's albino,Kanaya is black,Terezi is a redhead so I guess that makes her white,Vriska is an indeterminate race that isn't any one race,but she's really tan and her hair is medium-dark brown,idk about equius,equius is whatever you want him to be,Gamzee is black but he wears that makeup,Eridan is white and furious that he isn't blond because now his hair is hard to dye,Feferi is Hispanic,these are actually not important,but it's how they're described in it,so if you want to know my headcanons,there you go,Sollux's tag got deleted,He's like native islander or something,But his hair is honey,Doomed Timelines,Alternate Universe - Fusion,Post-Sburb/Sgrub,Boggartstuck,Angst,Emotional Hurt/Comfort,Self-Harm,References to Suicide,Suicide Attempt,Existentialism,Potterstuck,AU,Hogwarts,third year,Why?,Pale Romance | Moirallegiance,Ashen Romance | Auspistice,CROSSOVER!!!!1,High School AU,also supernatural stuff,everyone is 18,first fic,iM A DORK FOR WRITING THIS,lmaooo,bUT this mite turn out goof,Alcohol Abuse/Alcoholism,harry is a troll,Everybody Dies,pesterlogs trollian logs,for potterstuck,because tumblr is a dick,will be mashed into one big file eventually,see main thing for it if you want,Fusion,Trans Character,wizardstuck,animagi,beta kids - Freeform,Beta Trolls - Freeform,occasional smut,Underage - Freeform,awkward teen smut,x-over,Emo,Goth - Freeform,Vampires,Werewolves,Rainbow Drinkers,OCs - Freeform,Dark,Blood,Gore,Sex,Drugs,Alcohol,Hunger Games x Harry Potter x Twilight x Homestuck,Incest,Kinks,BDSM,crack ships,x-over ships,Omega!verse,First Meetings,Flushed Romance | Matesprits,Caliginous Romance | Kismesis,Pure Crack,Aesthetics,Not related to the first instalment of A Shitty Fanfiction,oh look a sequel,john and dave have children,Alternate Universe - Modern Setting,Alternate Universe - High School,Alternate Universe - Human,Alternate Reality,Alternate Universe- No Supernatural,Alternate Universe - Harry Potter Setting,Alternate Universe - Hogwarts,Alternate Universe - Ordinary People,Alternate Universe - Aliens,Alternate Universe - Creatures & Monsters,Alternate Universe - Magic,Alternate Universe - No Powers,Alternate Universe - Non-Magical,Timeline Shenanigans,Human/Troll Society,Alien Cultural Differences,Developing Relationship,Makeshift Parental Figure/Guardian,Demonic Influence of the questionable motives kind,The HS kids dont question anything,Until legit magic is involved,Then all the questioning,And eventual acceptance cause why the fuck not,character death (mentioned),Black-Red Vacillation,Asshole Jake,Oblivious Jake,He-gets-better Jake,Cheating,mild bloodplay,Sibling Incest,Plot Bunnies - Freeform,adoptables,feel free to finish any of these,seriously,take them,name swaps,Homestuck - Freeform,fan comic,on tumblr,it's potterstuck,if that makes any fucking sense,homestuck game mechanics meshed in an au harry potter world,shenannigans,put her because tumblr is stupid,can't change text color on it,hate it,But whatever,very slow updates,possible connect to waxing pale,behold my ever so shitty art,that's all i really have to say,SBURB/SGRUB,Epistolary,Book 4: Harry Potter and the Goblet of Fire,johnkat - Freeform,mspaintadventures - Freeform,fly.by.night,flybynightjohnkat,Teacher-Student Relationship,Journalism,Dubious Consent,All the trolls (also Alfa-trolls),all the kids - Freeform,Friendship (or something....),No relationships (sorry Nepeta),Everyone (okay ALMOST everyone) goes to Hogwarts,Confused Karkat,There is actually a plot,I cannot think of anything more....,segregation,Equality Movements,Boarding School,Magic,Technology,Alternate Timeline,Trolls At Hogwarts,What An Original Concept,I Bet You're Excited,Hogwartsstuck,I'm Coining That,Humor,Other Additional Tags to Be Added
"Good Luck","whenyouheldtheknife","Homestuck,Harry Potter - J. K. Rowling",English,2093,1/1,0,1,23,1,506,Teen And Up Audiences,21 Feb 2013,"John Egbert,Dave Strider,Rose Lalonde","John Egbert/Dave Strider","No Archive Warnings Apply",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"poterstuck 2","blackkitty9","Harry Potter - J. K. Rowling,Homestuck",English,1602,7/7,0,0,3,0,246,General Audiences,21 Aug 2013,"Jade Harley,John Egbert,Harry Potter,Ginny Weasley,Lily Evans Potter,Severus Snape,Portrait Albus Dumbledore,Dave Strider,Neville Longbottom","John Egbert/Dave Strider,Harry Potter/Ginny Weasley,Lily Evans Potter & Severus Snape,Neville Longbottom/Luna Lovegood","Creator Chose Not To Use Archive Warnings,Major Character Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magic, the Sun, and the Sky","MadMegatax","Homestuck,Harry Potter - J. K. Rowling",English,2270,2/?,0,5,14,1,496,General Audiences,29 Sep 2012,"John Egbert,Rose Lalonde,Dave Strider,Jade Harley","John Egbert/Rose Lalonde,more to be revealed later","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Another Way","stunrunner","Homestuck,Harry Potter - J. K. Rowling",English,3864,1/1,1,3,10,1,51,Not Rated,21 Sep 2014,"Nepeta Leijon,Dirk Strider,Auto-Responder | Lil Hal","Nepeta Leijon & Dirk Strider,Auto-Responder/Nepeta Leijon","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"potterstuck","blackkitty9","Harry Potter - J. K. Rowling,Homestuck",English,1560,5/5,0,12,2,0,677,General Audiences,31 Jul 2013,"Harry Potter,Angelina Johnson,Fred Weasley,George Weasley,John Egbert,Dave Strider,Hermione Granger,Ron Weasley","Angelina Johnson/Fred Weasley,John Egbert/Dave Strider,Harry Potter/Ginny Weasley,Hermione Granger/Ron Weasley,Rose Lalonde/Kanaya Maryam","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30 Sentences","cest_what","Hikaru no Go,Anne of Green Gables - L. M. Montgomery,Gunnerkrigg Court,Code Name Verity - Elizabeth Wein,Calvin & Hobbes,Harry Potter - J. K. Rowling,Adventure Time,Homestuck,due South",English,601,10/10,0,8,19,0,730,General Audiences,20 Mar 2013,"","","No Archive Warnings Apply",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karkat Vantas and that Stupid Fucking Stone","SlytherinPirate","Homestuck,Harry Potter - J. K. Rowling",English,5782,7/7,0,2,8,0,600,Teen And Up Audiences,30 Mar 2014,"Karkat Vantas,John Egbert,Vriska Serket,Kankri Vantas,Eridan Ampora","","Creator Chose Not To Use Archive Warnings",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cara Mia Addio","lapisandsapphire","Neon Genesis Evangelion,Shingeki no Kyojin | Attack on Titan,Kuroshitsuji | Black Butler,Harry Potter - J. K. Rowling,Homestuck",English,284,1/1,1,0,0,0,68,Teen And Up Audiences,14 Oct 2014,"OCs","","Major Character Death",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Three Assholes Meet On a Train","autumnalArcher","Homestuck,Harry Potter - Fandom",English,2038,1/1,0,0,18,1,272,Not Rated,22 Jun 2013,"Karkat Vantas,Feferi Peixes,Sollux Captor","","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In Which a Group of Sixteen Adolescent Wizards Meet and Become Friends Through a Series of Shenanigans","potatOeBowtieCo","Harry Potter - J. K. Rowling,Homestuck",English,7423,5/?,0,8,27,5,600,Teen And Up Audiences,17 Nov 2014,"John Egbert,Rose Lalonde,Jade Harley,Dave Strider,Karkat Vantas,Aradia Megido,Tavros Nitram,Sollux Captor,Nepeta Leijon,Kanaya Maryam,Terezi Pyrope,Vriska Serket,Equius Zahhak,Gamzee Makara,Eridan Ampora,Feferi Peixes,Rose Weasley,Hugo Weasley,Albus Severus Potter,Lily Evans Potter,James Sirius Potter,Rubeus Hagrid,Minerva McGonagall","Dave Strider/Karkat Vantas,Rose Lalonde/Kanaya Maryam,Gamzee Makara/Tavros Nitram,Sollux Captor/Aradia Megido,i might add more later idk,Terezi Pyrope/Karkat Vantas (pale),Nepeta Leijon/Equius Zahhak (pale),one-sided Aranea/Meenah (solely for comic relief and never gets serious),Past Latula/Rufioh","No Archive Warnings Apply",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASTLEBOUND Act II Part 3","BiblioMatsuri","Harry Potter - J. K. Rowling,Homestuck",English,3564,6/6,1,3,8,0,51,Teen And Up Audiences,21 Sep 2014,"Harry Potter,Draco Malfoy,Hermione Granger,Ron Weasley,Peter Pettigrew","","Major Character Death",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Safe in the Dark","Penkindisbestspecibus","Homestuck,Harry Potter - J. K. Rowling",English,6775,4/?,0,55,165,33,3709,Mature,26 Oct 2014,"John Egbert,Dave Strider,Jade Harley,Karkat Vantas,Gamzee Makara,Rose Lalonde,Eridan Ampora,Feferi Peixes,Sollux Captor,Aradia Megido,Tavros Nitram,Equius Zahhak,Nepeta Leijon,Kanaya Maryam,Vriska Serket,Terezi Pyrope,Dirk Strider,Jane Crocker,Jake English,Roxy Lalonde,Auto-Responder | Lil Hal","Gamzee Makara & Karkat Vantas","Graphic Depictions Of Violence,Major Character Death",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dave Strider and the Stiller Shades","","Homestuck,Harry Potter - Fandom",English,1262,1/2,1,3,20,1,529,Teen And Up Audiences,19 Mar 2014,"Dave Strider,Jade Harley,Rose Lalonde,John Egbert,Karkat Vantas,Dirk Strider,Bro (Homestuck),Ms. Paint,Peregrine Mendicant,Jack Noir,Mom (Homestuck),Mom | Roxy Lalonde","","No Archive Warnings Apply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Mustache?!","WitchTiara","Homestuck,Harry Potter - J. K. Rowling",English,1387,1/1,0,0,3,0,154,General Audiences,16 Oct 2014,"Nepeta Leijon,Rose Lalonde,Vriska Serket,Equius Zahhak","Rose Lalonde/Vriska Serket,Rose Lalonde/Nepeta Leijon,Nepeta Leijon/Vriska Serket,Rose Lalonde/Nepeta Leijon/Vriska Serket,Nepeta Leijon/Equius Zahhak","No Archive Warnings Apply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"You're a Wizard, Eri","MacaroniSwirls (orphan_account)","Homestuck,Harry Potter - J. K. Rowling",English,5648,4/?,0,39,63,17,1463,Not Rated,17 May 2011,"Eridan Ampora","","Creator Chose Not To Use Archive Warnings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
